Nafn,ID,Starfsheiti,Sveitarfelag,Fornafn,Eftirnafn,Heimasimi,Vinnusimi,Farsimi,Notendanafn,Deild
Andres Magnusson,6747,laeknir,Kopavogi,Andres,Magnusson,+354 555-9041,+354 567-9054,+354 867-3454,AndMag,Tolvudeild
Andres Bjarni Sigurvinsson,2468,verkefnisstjori,Svf. arborg,Andres Bjarni,Sigurvinsson,+354 555-5161,+354 567-9683,+354 867-3527,AndSig,Tolvudeild
Andri Mar Fridriksson,2061,nemi,Reykjavik,Andri Mar,Fridriksson,+354 555-7543,+354 567-9313,+354 867-8025,AndFri,Tolvudeild
Andri Valur ivarsson,8397,nemi vid Haskola islands,Reykjavik,Andri Valur,ivarsson,+354 555-4430,+354 567-9282,+354 867-5305,Andiva,Tolvudeild
Andri Ottesen,2908,framkvaemdastjori,Reykjavik,Andri,Ottesen,+354 555-5726,+354 567-9979,+354 867-5247,AndOtt,Tolvudeild
Ann Maria Andreasen,4162,ritari skipulagsstjora,Reykjavik,Ann Maria,Andreasen,+354 555-4874,+354 567-8644,+354 867-1080,AnnAnd,Tolvudeild
Anna Kolbrun arnadottir,3073,serkennari,Akureyri,Anna Kolbrun,arnadottir,+354 555-6562,+354 567-8810,+354 867-6433,Annarn,Tolvudeild
Anna Maria Bogadottir,9739,menningarfraedingur,Reykjavik,Anna Maria,Bogadottir,+354 555-7042,+354 567-8683,+354 867-6671,AnnBog,Tolvudeild
Anna Kristin Kristjansdottir,9068,velfraedingur,Reykjavik,Anna Kristin,Kristjansdottir,+354 555-1237,+354 567-8853,+354 867-2770,AnnKri,Tolvudeild
Anna Benkovic Mikaelsdottir,4382,kennari,Svf. alftanesi,Anna Benkovic,Mikaelsdottir,+354 555-6620,+354 567-8578,+354 867-4312,AnnMik,Tolvudeild
Anna Elisabet olafsdottir,3689,radgjafi,Kopavogi,Anna Elisabet,olafsdottir,+354 555-2274,+354 567-9095,+354 867-1197,Annola,Tolvudeild
Anton Johannesson,8364,radgjafi,Reykjavik,Anton,Johannesson,+354 555-1523,+354 567-8952,+354 867-4243,AntJoh,Tolvudeild
Ari Teitsson,2237,bondi,tingeyjarsveit,Ari,Teitsson,+354 555-7685,+354 567-9506,+354 867-1839,AriTei,Fjarmaladeild
Arinbjorn Sigurgeirsson,5295,gaedastjori Hafnarfjardarbaejar,Reykjavik,Arinbjorn,Sigurgeirsson,+354 555-8256,+354 567-9465,+354 867-4834,AriSig,Fjarmaladeild
Arnaldur Gylfason,7517,forritari,Reykjavik,Arnaldur,Gylfason,+354 555-7471,+354 567-9060,+354 867-5090,ArnGyl,Fjarmaladeild
Arnar Geir Karason,9871,framkvaemdastjori,Reykjavik,Arnar Geir,Karason,+354 555-4530,+354 567-9183,+354 867-7261,ArnKar,Fjarmaladeild
Arndis Einarsdottir,5449,atvinnuleitandi,Reykjavik,Arndis,Einarsdottir,+354 555-4667,+354 567-9221,+354 867-6785,ArnEin,Fjarmaladeild
Arnfridur Gudmundsdottir,8023,professor,Kopavogi,Arnfridur,Gudmundsdottir,+354 555-8490,+354 567-9028,+354 867-9646,ArnGud,Fjarmaladeild
Audur Jonasdottir,8012,solufulltrui,Akureyri,Audur,Jonasdottir,+354 555-9644,+354 567-9062,+354 867-5593,AudJon,Fjarmaladeild
Audur Sigr. Kristinsdottir,4965,radgjafi,Reykjavik,Audur Sigr.,Kristinsdottir,+354 555-4096,+354 567-8411,+354 867-4227,AudKri,Fjarmaladeild
Axel tor Kolbeinsson,2336,tolvutaeknir,Hveragerdi,Axel tor,Kolbeinsson,+354 555-1649,+354 567-9908,+354 867-3239,AxeKol,Fjarmaladeild
agust Bjarni Gardarsson,5427,haskolanemi,Hafnarfirdi,agust Bjarni,Gardarsson,+354 555-8591,+354 567-8942,+354 867-4973,aguMGar,Fjarmaladeild
